Estacion,Lugar,Date,Depth_-0.5m_Temperature_(°C),Depth_-1m_Temperature_(°C),Depth_-2m_Temperature_(°C),Depth_-3m_Temperature_(°C),Depth_-4m_Temperature_(°C),Depth_-5m_Temperature_(°C),Depth_-0.5m_Chlorophyll_(mg/m3),Depth_-1m_Chlorophyll_(mg/m3),Depth_-2m_Chlorophyll_(mg/m3),Depth_-3m_Chlorophyll_(mg/m3),Depth_-4m_Chlorophyll_(mg/m3),Depth_-5m_Chlorophyll_(mg/m3),Depth_-0.5m_Salinity,Depth_-1m_Salinity,Depth_-2m_Salinity,Depth_-3m_Salinity,Depth_-4m_Salinity,Depth_-5m_Salinity,Depth_-0.5m_Dissolved oxygen_(mg/L),Depth_-1m_Dissolved oxygen_(mg/L),Depth_-2m_Dissolved oxygen_(mg/L),Depth_-3m_Dissolved oxygen_(mg/L),Depth_-4m_Dissolved oxygen_(mg/L),Depth_-5m_Dissolved oxygen_(mg/L),Depth_-0.5m_Conductivity_(S/m),Depth_-1m_Conductivity_(S/m),Depth_-2m_Conductivity_(S/m),Depth_-3m_Conductivity_(S/m),Depth_-4m_Conductivity_(S/m),Depth_-5m_Conductivity_(S/m),Depth_-0.5m_PH,Depth_-1m_PH,Depth_-2m_PH,Depth_-3m_PH,Depth_-4m_PH,Depth_-5m_PH,Depth_-0.5m_Organic matter_(mg/L total organic C),Depth_-1m_Organic matter_(mg/L total organic C),Depth_-2m_Organic matter_(mg/L total organic C),Depth_-3m_Organic matter_(mg/L total organic C),Depth_-4m_Organic matter_(mg/L total organic C),Depth_-5m_Organic matter_(mg/L total organic C),Depth_-0.5m_Turbidity_(FTU),Depth_-1m_Turbidity_(FTU),Depth_-2m_Turbidity_(FTU),Depth_-3m_Turbidity_(FTU),Depth_-4m_Turbidity_(FTU),Depth_-5m_Turbidity_(FTU),Depth_-6m_Chlorophyll_(mg/m3),Depth_-6m_Salinity,Depth_-6m_Dissolved oxygen_(mg/L),Depth_-6m_Conductivity_(S/m),Depth_-6m_Turbidity_(FTU),Depth_-6m_Organic matter_(mg/L total organic C),Depth_-6m_Temperature_(°C),Depth_-6m_PH,Depth_-1.5m_Temperature_(°C),Depth_-2.5m_Temperature_(°C),Depth_-3.5m_Temperature_(°C),Depth_-4.5m_Temperature_(°C),Depth_-1.5m_Turbidity_(FTU),Depth_-2.5m_Turbidity_(FTU),Depth_-3.5m_Turbidity_(FTU),Depth_-4.5m_Turbidity_(FTU),Depth_-1.5m_Salinity,Depth_-2.5m_Salinity,Depth_-3.5m_Salinity,Depth_-4.5m_Salinity,Depth_-1.5m_Dissolved oxygen_(mg/L),Depth_-2.5m_Dissolved oxygen_(mg/L),Depth_-3.5m_Dissolved oxygen_(mg/L),Depth_-4.5m_Dissolved oxygen_(mg/L),Depth_-1.5m_Chlorophyll_(mg/m3),Depth_-2.5m_Chlorophyll_(mg/m3),Depth_-3.5m_Chlorophyll_(mg/m3),Depth_-4.5m_Chlorophyll_(mg/m3),Depth_-0.5m_PE_(RFU),Depth_-1m_PE_(RFU),Depth_-1.5m_PE_(RFU),Depth_-2m_PE_(RFU),Depth_-2.5m_PE_(RFU),Depth_-3m_PE_(RFU),Depth_-3.5m_PE_(RFU),Depth_-4m_PE_(RFU),Depth_-4.5m_PE_(RFU),Depth_-5m_PE_(RFU)
E12,IMIDA,2016-11-22,16.1,16.05,16.02,15.94,15.77,15.75,18.69,30.32,33.29,31.55,29.9,29.85,46.41,46.42,46.43,46.46,46.52,46.52,7.09,7.07,7.04,6.93,6.78,6.77,5.65,5.65,5.64,5.64,5.62,5.62,,,,,,,,,,,,,4.67,4.86,4.77,4.79,5.51,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2016-12-02,15.0,15.0,15.01,15.05,15.1,15.1,14.78,26.24,30.02,28.46,27.06,27.07,45.14,45.58,45.63,45.79,46.02,46.03,7.05,7.04,6.97,6.79,6.6,6.56,5.38,5.43,5.43,5.45,5.48,5.49,,,,,,,,,,,,,4.66,4.75,4.83,4.84,4.67,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-01-12,12.19,12.19,12.19,12.18,12.17,12.17,27.78,44.41,50.52,57.38,60.17,59.98,40.99,41.0,41.0,41.0,41.0,41.0,8.45,8.45,8.45,8.46,8.37,8.3,4.63,4.63,4.63,4.63,4.63,4.63,,,,,,,,,,,,,5.31,5.35,5.36,5.35,5.27,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-01-26,9.89,9.84,9.82,9.81,9.76,9.74,12.93,26.22,36.79,38.87,37.14,36.36,40.35,40.35,40.35,40.35,40.36,40.39,8.19,8.18,8.17,8.15,8.01,7.91,4.31,4.31,4.31,4.31,4.3,4.3,,,,,,,,,,,,,6.93,7.08,7.1,7.26,7.2,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-02-03,11.2,11.17,11.08,11.09,10.94,10.87,8.01,11.26,18.3,31.11,40.4,41.9,40.2,40.21,40.23,40.29,40.45,40.48,8.0,8.02,8.05,8.38,8.62,8.59,4.44,4.44,4.43,4.44,4.44,4.43,,,,,,,,,,,,,3.4,3.45,3.64,3.94,4.28,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-02-10,11.74,11.71,11.64,11.57,11.56,11.56,12.67,29.39,41.92,46.07,47.03,47.03,40.53,40.55,40.59,40.6,40.6,40.6,7.98,8.03,8.07,8.01,7.95,7.94,4.53,4.53,4.53,4.52,4.52,4.52,,,,,,,,,,,,,6.11,6.25,6.31,6.37,6.17,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-02-16,13.09,13.08,13.08,13.08,13.08,13.08,16.71,23.58,32.03,33.99,34.41,34.71,40.55,40.55,40.55,40.55,40.55,40.55,7.77,7.74,7.76,7.72,7.72,7.73,4.68,4.68,4.68,4.68,4.68,4.68,,,,,,,,,,,,,4.5,4.69,4.66,4.77,4.73,4.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-02-24,13.84,13.82,13.81,13.8,13.8,13.81,8.11,11.0,13.39,16.19,17.71,18.57,40.56,40.56,40.56,40.56,40.56,40.57,7.56,7.54,7.54,7.49,7.37,7.24,4.77,4.76,4.76,4.76,4.76,4.76,,,,,,,,,,,,,2.42,2.48,2.54,2.56,2.5,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-03-02,15.31,15.23,15.2,15.19,15.18,15.16,6.66,8.57,12.16,17.65,20.67,18.22,40.52,40.52,40.51,40.51,40.51,40.52,7.71,7.74,7.71,7.68,7.6,7.18,4.92,4.92,4.91,4.91,4.91,4.91,,,,,,,,,,,,,2.34,2.64,2.73,2.71,2.61,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12,IMIDA,2017-03-22,16.86,16.77,16.73,16.69,16.67,16.63,4.26,4.72,5.64,6.7,7.11,6.7,40.35,40.34,40.34,40.33,40.33,40.34,7.22,7.19,7.16,7.15,7.14,6.46,5.08,5.07,5.06,5.06,5.06,5.05,,,,,,,,,,,,,2.32,2.3,2.34,2.48,2.45,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
